LOSS  - MODEL PARAMS - ACTIVATION - LAYERS - NODES - FINAL_LAYER_ACTIVATION
([0.055252619816958906, 0.15311415724754335], 'relu', 5, 3, 'linear')
([0.05062980611741543, 0.12086791796684265], 'relu', 5, 4, 'linear')
([0.047551474488452074, 0.14245692701578141], 'relu', 5, 5, 'linear')
([0.04439688036620617, 0.12005469381809235], 'relu', 5, 6, 'linear')
([0.038872287237271666, 0.12164173579573631], 'relu', 5, 7, 'linear')
([0.03954708976238966, 0.11236164191365242], 'relu', 5, 8, 'linear')
([0.04173142273008824, 0.14363557804584504], 'relu', 5, 9, 'linear')
([0.07033574318885803, 0.1821686526489258], 'sigmoid', 1, 1, 'linear')
([0.05860916071847081, 0.1681796833729744], 'sigmoid', 1, 2, 'linear')
([0.07499452686786652, 0.20326380539417266], 'sigmoid', 1, 3, 'linear')
([0.04970182997345925, 0.15881056059598922], 'sigmoid', 1, 4, 'linear')
([0.05289119005218148, 0.165331474711895], 'sigmoid', 1, 5, 'linear')
([0.05662748330071569, 0.1657303414916992], 'sigmoid', 1, 6, 'linear')
([0.0554583412450552, 0.17597999563455582], 'sigmoid', 1, 7, 'linear')
([0.05861013634115458, 0.16134543905735016], 'sigmoid', 1, 8, 'linear')
([0.055276479483544826, 0.16481757228136062], 'sigmoid', 1, 9, 'linear')
([0.0466691004383564, 0.1301521821451187], 'sigmoid', 2, 1, 'linear')
([0.055151730509400365, 0.15518518721580504], 'sigmoid', 2, 2, 'linear')
([0.05540859665155411, 0.15826193286657333], 'sigmoid', 2, 3, 'linear')
([0.050360051686167716, 0.15518794278860093], 'sigmoid', 2, 4, 'linear')
([0.055378761647082865, 0.1600961994034052], 'sigmoid', 2, 5, 'linear')
([0.05312194102078676, 0.1590809755218029], 'sigmoid', 2, 6, 'linear')
([0.05498944970101118, 0.16181850670695305], 'sigmoid', 2, 7, 'linear')
([0.054102821181192993, 0.1605176938331127], 'sigmoid', 2, 8, 'linear')
([0.050832461396306754, 0.15612054303288458], 'sigmoid', 2, 9, 'linear')
([0.05504121296286583, 0.15484849067926407], 'sigmoid', 3, 1, 'linear')
([0.05125184901505709, 0.15520813364028932], 'sigmoid', 3, 2, 'linear')
([0.05446891344845295, 0.16121854726314544], 'sigmoid', 3, 3, 'linear')
([0.05785963187932968, 0.16197856781959533], 'sigmoid', 3, 4, 'linear')
([0.05451900948226452, 0.15716553825616836], 'sigmoid', 3, 5, 'linear')
([0.05157724575102329, 0.1567145454144478], 'sigmoid', 3, 6, 'linear')
([0.055156303538680077, 0.15416297065496445], 'sigmoid', 3, 7, 'linear')
([0.05312711984157562, 0.14961291097164153], 'sigmoid', 3, 8, 'linear')
([0.048894331535696986, 0.16276160785675048], 'sigmoid', 3, 9, 'linear')
([0.05488507349610329, 0.15538030305862427], 'sigmoid', 4, 1, 'linear')
([0.056177991114258766, 0.1576745271062851], 'sigmoid', 4, 2, 'linear')
([0.05480381545603275, 0.1553726092648506], 'sigmoid', 4, 3, 'linear')
([0.05472197948873043, 0.15574552721500395], 'sigmoid', 4, 4, 'linear')
([0.054646780973672864, 0.15693265100955964], 'sigmoid', 4, 5, 'linear')
([0.05629858007133007, 0.15923706255197526], 'sigmoid', 4, 6, 'linear')
([0.05637202505886555, 0.15531158915400506], 'sigmoid', 4, 7, 'linear')
([0.05468851077735424, 0.1554343599152565], 'sigmoid', 4, 8, 'linear')
([0.05669582216791809, 0.16727637406349183], 'sigmoid', 4, 9, 'linear')
([0.05493196604013443, 0.15573691864728928], 'sigmoid', 5, 1, 'linear')
([0.054626617139577865, 0.15538450586795807], 'sigmoid', 5, 2, 'linear')
([0.05566940488517284, 0.15778753452777863], 'sigmoid', 5, 3, 'linear')
([0.054882634943723675, 0.15587905133247376], 'sigmoid', 5, 4, 'linear')
([0.05506692536532879, 0.15502418833255768], 'sigmoid', 5, 5, 'linear')
([0.05387672636151314, 0.16893480726480484], 'sigmoid', 5, 6, 'linear')
([0.0551728247089684, 0.16940366983413696], 'sigmoid', 5, 7, 'linear')
([0.0561495110116899, 0.15428736127138137], 'sigmoid', 5, 8, 'linear')
([0.05656821923777461, 0.16783323531150818], 'sigmoid', 5, 9, 'linear')
([0.05658672367393971, 0.15980988040447236], 'hard_sigmoid', 1, 1, 'linear')
([0.054598211312890055, 0.1507191784787178], 'hard_sigmoid', 1, 2, 'linear')
([0.06904784312367439, 0.19735757150650024], 'hard_sigmoid', 1, 3, 'linear')
([0.04355268516153097, 0.13236053290367125], 'hard_sigmoid', 1, 4, 'linear')
([0.050716746861189606, 0.15152478706002234], 'hard_sigmoid', 1, 5, 'linear')
([0.05518376261636615, 0.16144077220201491], 'hard_sigmoid', 1, 6, 'linear')
([0.05550140168249607, 0.16218384536862374], 'hard_sigmoid', 1, 7, 'linear')
([0.05464415333271026, 0.15803145166158677], 'hard_sigmoid', 1, 8, 'linear')
([0.05528310107126832, 0.15731442924261094], 'hard_sigmoid', 1, 9, 'linear')
([0.05664019962131977, 0.15921269390106202], 'hard_sigmoid', 2, 1, 'linear')
([0.0535209137994051, 0.15055029816150664], 'hard_sigmoid', 2, 2, 'linear')
([0.05195266471043229, 0.16982577299118043], 'hard_sigmoid', 2, 3, 'linear')
([0.04881776618480682, 0.15728026959896088], 'hard_sigmoid', 2, 4, 'linear')
([0.052621169521808626, 0.15368006743431092], 'hard_sigmoid', 2, 5, 'linear')
([0.04785504332125187, 0.1464034993684292], 'hard_sigmoid', 2, 6, 'linear')
([0.048799005871117115, 0.1366867301940918], 'hard_sigmoid', 2, 7, 'linear')
([0.04988742503747344, 0.15972540199041366], 'hard_sigmoid', 2, 8, 'linear')
([0.05345867118768394, 0.15967805496811865], 'hard_sigmoid', 2, 9, 'linear')
([0.05471844578385353, 0.1559980130958557], 'hard_sigmoid', 3, 1, 'linear')
([0.083816210013628, 0.2056507472515106], 'hard_sigmoid', 3, 2, 'linear')
([0.057607809421420096, 0.16390105522155762], 'hard_sigmoid', 3, 3, 'linear')
([0.052797196652889254, 0.15586064604759217], 'hard_sigmoid', 3, 4, 'linear')
([0.055099561628997325, 0.16052508660554887], 'hard_sigmoid', 3, 5, 'linear')
([0.05462746446415782, 0.1586189669752121], 'hard_sigmoid', 3, 6, 'linear')
([0.04999969949170947, 0.1527002626848221], 'hard_sigmoid', 3, 7, 'linear')
([0.05491567487075925, 0.15907811646819114], 'hard_sigmoid', 3, 8, 'linear')
([0.05593398381590843, 0.1600716539144516], 'hard_sigmoid', 3, 9, 'linear')
([0.054481704304218295, 0.1552905993819237], 'hard_sigmoid', 4, 1, 'linear')
([0.05533148498833179, 0.156587334754467], 'hard_sigmoid', 4, 2, 'linear')
([0.054919726392030715, 0.1554788367509842], 'hard_sigmoid', 4, 3, 'linear')
([0.05207478514432907, 0.1536207779598236], 'hard_sigmoid', 4, 4, 'linear')
([0.05404492781162262, 0.15118532974243165], 'hard_sigmoid', 4, 5, 'linear')
([0.0507157646818459, 0.16239107449173928], 'hard_sigmoid', 4, 6, 'linear')
([0.05519761232994497, 0.15873416973412036], 'hard_sigmoid', 4, 7, 'linear')
([0.05483705212295056, 0.15696201964855194], 'hard_sigmoid', 4, 8, 'linear')
([0.05727493103206158, 0.16112194998025894], 'hard_sigmoid', 4, 9, 'linear')
([0.05947862930357456, 0.16585919593811035], 'hard_sigmoid', 5, 1, 'linear')
([0.06635926741957665, 0.17803240756034852], 'hard_sigmoid', 5, 2, 'linear')
([0.054996420489549634, 0.15579033338069917], 'hard_sigmoid', 5, 3, 'linear')
([0.054807004665732385, 0.15553526986837388], 'hard_sigmoid', 5, 4, 'linear')
([0.059813014284670354, 0.17053279921770095], 'hard_sigmoid', 5, 5, 'linear')
([0.05393974793791771, 0.15657785295963286], 'hard_sigmoid', 5, 6, 'linear')
([0.053846599407792094, 0.15700383240699767], 'hard_sigmoid', 5, 7, 'linear')
([0.05422735218703747, 0.15521193329572677], 'hard_sigmoid', 5, 8, 'linear')
([0.05363275405406952, 0.1542574416399002], 'hard_sigmoid', 5, 9, 'linear')
([0.07703812935352325, 0.19757437472343445], 'selu', 1, 1, 'linear')
([0.06637232695162296, 0.1883858171713352], 'selu', 1, 2, 'linear')
([0.06547723969228565, 0.19247954832792283], 'selu', 1, 3, 'linear')
([0.0592070563814044, 0.176760164206028], 'selu', 1, 4, 'linear')
([0.06396515468120575, 0.19150328039884568], 'selu', 1, 5, 'linear')
([0.07215204565897584, 0.19141100222468377], 'selu', 1, 6, 'linear')
([0.06921906986236573, 0.19337154698371886], 'selu', 1, 7, 'linear')
([0.06972531089663506, 0.19280952096700668], 'selu', 1, 8, 'linear')
([0.062460119003802536, 0.17671016031980513], 'selu', 1, 9, 'linear')
([0.054755769982934, 0.15637284621715547], 'selu', 2, 1, 'linear')
([0.061426954728364944, 0.17211455055713654], 'selu', 2, 2, 'linear')
([0.12268541035607457, 0.2964295381116867], 'selu', 2, 3, 'linear')
([0.045415140693485734, 0.14264180470228197], 'selu', 2, 4, 'linear')
([0.05829201274514198, 0.18184366037130356], 'selu', 2, 5, 'linear')
([0.05646841718018055, 0.17727203500032426], 'selu', 2, 6, 'linear')
([0.060702619105875495, 0.17970118385314943], 'selu', 2, 7, 'linear')
([0.06585519956827164, 0.18115490142822266], 'selu', 2, 8, 'linear')
([0.062237032442092895, 0.19306303627967836], 'selu', 2, 9, 'linear')
([0.056239150900244714, 0.1564636443758011], 'selu', 3, 1, 'linear')
([0.05846633819818497, 0.16160490190505983], 'selu', 3, 2, 'linear')
([0.049732536895126106, 0.13471961148500441], 'selu', 3, 3, 'linear')
([0.061556132896840574, 0.17441030908823013], 'selu', 3, 4, 'linear')
([0.07011858060479165, 0.19082750903606416], 'selu', 3, 5, 'linear')
([0.048744539497494695, 0.15148464436769485], 'selu', 3, 6, 'linear')
([0.07185052562892437, 0.19595231142520905], 'selu', 3, 7, 'linear')
([0.04724966505885124, 0.15595494064569473], 'selu', 3, 8, 'linear')
([0.059200667830854654, 0.16133602890729903], 'selu', 3, 9, 'linear')
([0.04694592396248132, 0.13042222747445106], 'selu', 4, 1, 'linear')
([0.05726262615606189, 0.16736622944116591], 'selu', 4, 2, 'linear')
([0.05122011216878891, 0.16216891339540482], 'selu', 4, 3, 'linear')
([0.057220261905789375, 0.1537742447590828], 'selu', 4, 4, 'linear')
([0.05254778893381357, 0.14400247744083405], 'selu', 4, 5, 'linear')
([0.056216991642415524, 0.15395488797426224], 'selu', 4, 6, 'linear')
([0.06357824064001441, 0.18572713402986527], 'selu', 4, 7, 'linear')
([0.050930505252406, 0.16268877564430237], 'selu', 4, 8, 'linear')
([0.05600043655633927, 0.17148371941804885], 'selu', 4, 9, 'linear')
([0.04378495245248079, 0.13424227640151978], 'selu', 5, 1, 'linear')
([0.05124700294137001, 0.14391781229257583], 'selu', 5, 2, 'linear')
([0.06141635139584541, 0.16528984461903573], 'selu', 5, 3, 'linear')
([0.05457433349043131, 0.1630802999639511], 'selu', 5, 4, 'linear')
([0.06935381805717945, 0.18553808790445328], 'selu', 5, 5, 'linear')
