LOSS  - MODEL PARAMS - ACTIVATION - LAYERS - NODES - FINAL_LAYER_ACTIVATION
([0.05588809020757675, 0.16403997604370119], 'sigmoid', 5, 4, 'softmax')
([0.05512955445706844, 0.1601514935874939], 'sigmoid', 5, 5, 'softmax')
([0.05509185734152794, 0.1596196548652649], 'sigmoid', 5, 6, 'softmax')
([0.054911980823278424, 0.1631189267063141], 'sigmoid', 5, 7, 'softmax')
([0.05814101262867451, 0.17082909286975861], 'sigmoid', 5, 8, 'softmax')
([0.059512287698984145, 0.17306179590463638], 'sigmoid', 5, 9, 'softmax')
([0.0758821310698986, 0.21981493534088134], 'hard_sigmoid', 1, 1, 'softmax')
([0.061031575184464455, 0.1729801002550125], 'hard_sigmoid', 1, 2, 'softmax')
([0.04773656551897526, 0.15584376193642616], 'hard_sigmoid', 1, 3, 'softmax')
([0.05824174050122499, 0.17694778212308884], 'hard_sigmoid', 1, 4, 'softmax')
([0.056568248878121376, 0.172806816740036], 'hard_sigmoid', 1, 5, 'softmax')
([0.0552365307457, 0.16779969712495804], 'hard_sigmoid', 1, 6, 'softmax')
([0.0535074632576108, 0.16832633724927903], 'hard_sigmoid', 1, 7, 'softmax')
([0.051025500479899344, 0.15790089335560797], 'hard_sigmoid', 1, 8, 'softmax')
([0.053616626204922795, 0.16295605452418327], 'hard_sigmoid', 1, 9, 'softmax')
([0.059892872933149335, 0.1840460792016983], 'hard_sigmoid', 2, 1, 'softmax')
([0.06210928272545338, 0.18954215889453888], 'hard_sigmoid', 2, 2, 'softmax')
([0.055191308027505874, 0.17044993485450743], 'hard_sigmoid', 2, 3, 'softmax')
([0.05998057074248791, 0.17658039131164552], 'hard_sigmoid', 2, 4, 'softmax')
([0.05905997750371694, 0.1760455126953125], 'hard_sigmoid', 2, 5, 'softmax')
([0.06070219708561897, 0.17608630340576173], 'hard_sigmoid', 2, 6, 'softmax')
([0.05362756172716618, 0.17018901228904723], 'hard_sigmoid', 2, 7, 'softmax')
([0.05222974911183119, 0.1639327393746376], 'hard_sigmoid', 2, 8, 'softmax')
([0.055136480669900775, 0.1633379086124897], 'hard_sigmoid', 2, 9, 'softmax')
([0.05461565183222294, 0.16555918751716614], 'hard_sigmoid', 3, 1, 'softmax')
([0.0567457981723547, 0.1732513808822632], 'hard_sigmoid', 3, 2, 'softmax')
([0.06162036268115044, 0.1883818789958954], 'hard_sigmoid', 3, 3, 'softmax')
([0.05281512935996056, 0.16060487699270248], 'hard_sigmoid', 3, 4, 'softmax')
([0.05458345476031303, 0.162069245429039], 'hard_sigmoid', 3, 5, 'softmax')
([0.05531637749314308, 0.1679090791797638], 'hard_sigmoid', 3, 6, 'softmax')
([0.05607082705616951, 0.16823879930734634], 'hard_sigmoid', 3, 7, 'softmax')
([0.05502661222357303, 0.15905113362431525], 'hard_sigmoid', 3, 8, 'softmax')
([0.05436711156725883, 0.16335929564595222], 'hard_sigmoid', 3, 9, 'softmax')
([0.05737885139286518, 0.16732398571014404], 'hard_sigmoid', 4, 1, 'softmax')
([0.05520837875008583, 0.16371351932048797], 'hard_sigmoid', 4, 2, 'softmax')
([0.056218076797127724, 0.16491340794086456], 'hard_sigmoid', 4, 3, 'softmax')
([0.05448966345429421, 0.15898109426259993], 'hard_sigmoid', 4, 4, 'softmax')
([0.05505652906835079, 0.16146877774238586], 'hard_sigmoid', 4, 5, 'softmax')
([0.05498500409901142, 0.16484156124591828], 'hard_sigmoid', 4, 6, 'softmax')
([0.05458668605744839, 0.16546278631448746], 'hard_sigmoid', 4, 7, 'softmax')
([0.06396667375132442, 0.16910214173197746], 'hard_sigmoid', 4, 8, 'softmax')
([0.05426670680224895, 0.16412310567617416], 'hard_sigmoid', 4, 9, 'softmax')
([0.055570914478302, 0.16790239593982698], 'hard_sigmoid', 5, 1, 'softmax')
([0.05490129161834717, 0.16294606184959412], 'hard_sigmoid', 5, 2, 'softmax')
([0.05486617548823357, 0.1600425259923935], 'hard_sigmoid', 5, 3, 'softmax')
([0.05481562385261059, 0.15913829580783845], 'hard_sigmoid', 5, 4, 'softmax')
([0.05500647705256939, 0.16128726347923278], 'hard_sigmoid', 5, 5, 'softmax')
([0.05475280302584171, 0.16066766191482543], 'hard_sigmoid', 5, 6, 'softmax')
([0.05416539539575577, 0.15649314851284027], 'hard_sigmoid', 5, 7, 'softmax')
([0.055630085594058035, 0.1632669123888016], 'hard_sigmoid', 5, 8, 'softmax')
([0.05440155682861805, 0.15778348277568818], 'hard_sigmoid', 5, 9, 'softmax')
([0.05650365649819374, 0.1733453094482422], 'selu', 1, 1, 'softmax')
([0.05874048603761941, 0.17162003623485564], 'selu', 1, 2, 'softmax')
([0.04517665300831199, 0.14932325014710426], 'selu', 1, 3, 'softmax')
([0.052046528368741275, 0.15067417796492577], 'selu', 1, 4, 'softmax')
([0.054111370164603, 0.1555455781596899], 'selu', 1, 5, 'softmax')
([0.058777471985779706, 0.17481304812908172], 'selu', 1, 6, 'softmax')
([0.05269708863850683, 0.15928511005878448], 'selu', 1, 7, 'softmax')
([0.05088488419897854, 0.15498548285603522], 'selu', 1, 8, 'softmax')
([0.05592892573732883, 0.16091934044718742], 'selu', 1, 9, 'softmax')
([0.046202049199417235, 0.1419664431923628], 'selu', 2, 1, 'softmax')
([0.039314683315381405, 0.12116234365820884], 'selu', 2, 2, 'softmax')
([0.1282253330925107, 0.2855663225317001], 'selu', 2, 3, 'softmax')
([0.053612644910737875, 0.15936757865071297], 'selu', 2, 4, 'softmax')
([0.0595966599842906, 0.1522098749166727], 'selu', 2, 5, 'softmax')
([0.0424512805505516, 0.12827482318103314], 'selu', 2, 6, 'softmax')
([0.05691990104869008, 0.15980539316892625], 'selu', 2, 7, 'softmax')
([0.04079993350215256, 0.1324227743446827], 'selu', 2, 8, 'softmax')
([0.043777933306619526, 0.13451704637408257], 'selu', 2, 9, 'softmax')
([0.0563706665122509, 0.1733663266825676], 'selu', 3, 1, 'softmax')
([0.05012168834224343, 0.15627957575559617], 'selu', 3, 2, 'softmax')
([0.06551579754371196, 0.181972771641016], 'selu', 3, 3, 'softmax')
([0.04254009369686246, 0.13126711893498896], 'selu', 3, 4, 'softmax')
([0.04926696441948414, 0.1530276829266548], 'selu', 3, 5, 'softmax')
([0.036139986466076225, 0.1177448870229721], 'selu', 3, 6, 'softmax')
([0.04396872673548758, 0.13891111294269562], 'selu', 3, 7, 'softmax')
([0.09166688816569746, 0.2265412075507641], 'selu', 3, 8, 'softmax')
([0.04945047146122902, 0.141584256118536], 'selu', 3, 9, 'softmax')
([0.05152562814295292, 0.15353059553146362], 'selu', 4, 1, 'softmax')
([0.055664154179915784, 0.14884782069444658], 'selu', 4, 2, 'softmax')
([0.04840764708064497, 0.14724161222934723], 'selu', 4, 3, 'softmax')
([0.04234204269164242, 0.1269032827925682], 'selu', 4, 4, 'softmax')
([0.054371072458922864, 0.16356239716768264], 'selu', 4, 5, 'softmax')
([0.05397693592786789, 0.14971305705547333], 'selu', 4, 6, 'softmax')
([0.023642757148238516, 0.046715902551866605], 'selu', 4, 7, 'softmax')
([0.05158890695556998, 0.1518091222524643], 'selu', 4, 8, 'softmax')
([0.05341416706738993, 0.1535250349265337], 'selu', 4, 9, 'softmax')
([0.05711619146704674, 0.1683512127637863], 'selu', 5, 1, 'softmax')
([0.04817269795268774, 0.15653399079084396], 'selu', 5, 2, 'softmax')
([0.0745649366937764, 0.16672418705165387], 'selu', 5, 3, 'softmax')
([0.07139615993507206, 0.1555211331176758], 'selu', 5, 4, 'softmax')
([0.06714617867052555, 0.169919962682724], 'selu', 5, 5, 'softmax')
([0.04368882833119482, 0.14118462368011475], 'selu', 5, 6, 'softmax')
([0.05613208758026361, 0.16037896430253984], 'selu', 5, 7, 'softmax')
([0.06309106582954525, 0.17545905117750168], 'selu', 5, 8, 'softmax')
([0.03805498842921108, 0.12303324686050415], 'selu', 5, 9, 'softmax')
