{'epochs': 100, 'learning_rate': 0.042864285714285716, 'neurons': 231, 'hidden_layers': 12, 'activation_function': 'relu', 'batch_size': 8} mse: 88.44175510365825 mae: 6.962013152447167
{'epochs': 100, 'learning_rate': 0.01126326530612245, 'neurons': 208, 'hidden_layers': 4, 'activation_function': 'relu', 'batch_size': 16} mse: 12.169632915071164 mae: 2.6365867523581064
{'epochs': 100, 'learning_rate': 0.010243877551020408, 'neurons': 216, 'hidden_layers': 5, 'activation_function': 'relu', 'batch_size': 8} mse: 25.27324194999646 mae: 3.820792134467303
{'epochs': 100, 'learning_rate': 0.023495918367346942, 'neurons': 232, 'hidden_layers': 6, 'activation_function': 'relu', 'batch_size': 32} mse: 13.188153306897346 mae: 2.811449620938928
{'epochs': 100, 'learning_rate': 0.03674795918367347, 'neurons': 160, 'hidden_layers': 3, 'activation_function': 'relu', 'batch_size': 32} mse: 17.464595411039024 mae: 3.286180067841856
{'epochs': 100, 'learning_rate': 0.015340816326530613, 'neurons': 132, 'hidden_layers': 6, 'activation_function': 'relu', 'batch_size': 32} mse: 20.171598532052435 mae: 3.4546347489658618
{'epochs': 100, 'learning_rate': 0.014321428571428572, 'neurons': 152, 'hidden_layers': 11, 'activation_function': 'relu', 'batch_size': 64} mse: 15.3026459998244 mae: 2.9946800701653777
{'epochs': 100, 'learning_rate': 0.017379591836734695, 'neurons': 230, 'hidden_layers': 8, 'activation_function': 'relu', 'batch_size': 32} mse: 24.880172145222634 mae: 3.6627252276433473
{'epochs': 100, 'learning_rate': 0.027573469387755106, 'neurons': 150, 'hidden_layers': 11, 'activation_function': 'relu', 'batch_size': 64} mse: 18.49753786912605 mae: 3.244488290123848
{'epochs': 100, 'learning_rate': 0.026554081632653062, 'neurons': 132, 'hidden_layers': 8, 'activation_function': 'relu', 'batch_size': 64} mse: 20.118390342913035 mae: 3.4249985694207448
{'epochs': 100, 'learning_rate': 0.010243877551020408, 'neurons': 193, 'hidden_layers': 7, 'activation_function': 'relu', 'batch_size': 64} mse: 11.301872346955323 mae: 2.5654465743812502
{'epochs': 100, 'learning_rate': 0.007185714285714286, 'neurons': 175, 'hidden_layers': 10, 'activation_function': 'relu', 'batch_size': 16} mse: 27.39015769551812 mae: 3.8877886078759296
{'epochs': 100, 'learning_rate': 0.027573469387755106, 'neurons': 167, 'hidden_layers': 8, 'activation_function': 'relu', 'batch_size': 8} mse: 100.27009442620187 mae: 7.50084025146441
{'epochs': 100, 'learning_rate': 0.01228265306122449, 'neurons': 188, 'hidden_layers': 12, 'activation_function': 'relu', 'batch_size': 64} mse: 20.63715881748918 mae: 3.4958610270323276
{'epochs': 100, 'learning_rate': 5e-05, 'neurons': 133, 'hidden_layers': 6, 'activation_function': 'relu', 'batch_size': 64} mse: 29.77806971644203 mae: 4.398384050519736
{'epochs': 100, 'learning_rate': 0.01228265306122449, 'neurons': 158, 'hidden_layers': 8, 'activation_function': 'relu', 'batch_size': 16} mse: 20.28594226335581 mae: 3.3947435013351495
{'epochs': 100, 'learning_rate': 0.028592857142857146, 'neurons': 142, 'hidden_layers': 3, 'activation_function': 'relu', 'batch_size': 16} mse: 12.113986455216507 mae: 2.656173665555725
{'epochs': 100, 'learning_rate': 0.0449030612244898, 'neurons': 231, 'hidden_layers': 7, 'activation_function': 'relu', 'batch_size': 64} mse: 12.913543540531638 mae: 2.6994088704313213
{'epochs': 100, 'learning_rate': 0.03572857142857143, 'neurons': 225, 'hidden_layers': 9, 'activation_function': 'relu', 'batch_size': 8} mse: 30.319334378544117 mae: 4.214480408219132
{'epochs': 100, 'learning_rate': 0.04694183673469388, 'neurons': 231, 'hidden_layers': 3, 'activation_function': 'relu', 'batch_size': 32} mse: 34.49864472509193 mae: 4.278247235765166
{'epochs': 100, 'learning_rate': 0.01126326530612245, 'neurons': 216, 'hidden_layers': 7, 'activation_function': 'relu', 'batch_size': 32} mse: 14.53312703439676 mae: 2.9208740420432995
{'epochs': 100, 'learning_rate': 0.041844897959183676, 'neurons': 236, 'hidden_layers': 3, 'activation_function': 'relu', 'batch_size': 8} mse: 15.470558039076208 mae: 3.073332373097846
{'epochs': 100, 'learning_rate': 0.017379591836734695, 'neurons': 188, 'hidden_layers': 12, 'activation_function': 'relu', 'batch_size': 8} mse: 40.79901926925865 mae: 4.826602615866156
{'epochs': 100, 'learning_rate': 0.037767346938775516, 'neurons': 136, 'hidden_layers': 10, 'activation_function': 'relu', 'batch_size': 64} mse: 21.627974196368275 mae: 3.572098391735562
{'epochs': 100, 'learning_rate': 0.01941836734693878, 'neurons': 206, 'hidden_layers': 4, 'activation_function': 'relu', 'batch_size': 16} mse: 11.783729065201683 mae: 2.5829316151421717
{'epochs': 100, 'learning_rate': 0.026554081632653062, 'neurons': 134, 'hidden_layers': 3, 'activation_function': 'relu', 'batch_size': 16} mse: 20.567742378218597 mae: 3.5328879786791663
{'epochs': 100, 'learning_rate': 0.04898061224489796, 'neurons': 142, 'hidden_layers': 6, 'activation_function': 'relu', 'batch_size': 32} mse: 16.351076258948787 mae: 3.101436246771633
{'epochs': 100, 'learning_rate': 0.05, 'neurons': 226, 'hidden_layers': 7, 'activation_function': 'relu', 'batch_size': 8} mse: 35.64512732152661 mae: 4.601380658641129
{'epochs': 100, 'learning_rate': 0.022476530612244902, 'neurons': 212, 'hidden_layers': 10, 'activation_function': 'relu', 'batch_size': 64} mse: 10.937440116437683 mae: 2.445807907881259
{'epochs': 100, 'learning_rate': 0.007185714285714286, 'neurons': 223, 'hidden_layers': 4, 'activation_function': 'relu', 'batch_size': 16} mse: 25.765242590833065 mae: 3.7704993568588505
{'epochs': 100, 'learning_rate': 0.009224489795918367, 'neurons': 166, 'hidden_layers': 6, 'activation_function': 'relu', 'batch_size': 32} mse: 12.693706797130073 mae: 2.8001974754157266
{'epochs': 100, 'learning_rate': 0.04898061224489796, 'neurons': 185, 'hidden_layers': 3, 'activation_function': 'relu', 'batch_size': 8} mse: 19.76410850736378 mae: 3.435644226711357
{'epochs': 100, 'learning_rate': 0.006166326530612245, 'neurons': 255, 'hidden_layers': 10, 'activation_function': 'relu', 'batch_size': 8} mse: 29.047774653106018 mae: 4.023257703245661
{'epochs': 100, 'learning_rate': 0.01941836734693878, 'neurons': 211, 'hidden_layers': 4, 'activation_function': 'relu', 'batch_size': 8} mse: 20.61829071343157 mae: 3.539982547976908
{'epochs': 100, 'learning_rate': 0.027573469387755106, 'neurons': 177, 'hidden_layers': 9, 'activation_function': 'relu', 'batch_size': 64} mse: 16.642793031813156 mae: 3.127901413462733
{'epochs': 100, 'learning_rate': 0.027573469387755106, 'neurons': 199, 'hidden_layers': 8, 'activation_function': 'relu', 'batch_size': 64} mse: 13.908861545272643 mae: 2.8560758797768253
{'epochs': 100, 'learning_rate': 0.04898061224489796, 'neurons': 202, 'hidden_layers': 6, 'activation_function': 'relu', 'batch_size': 32} mse: 12.493150450781718 mae: 2.7253801334641383
